trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.07171505334561,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,2,-120.24091886692219,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9999980000006666}",25,0,-175.61446511859572,"{0: 9, 1: 6, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-185.4190331123172,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-158.68411674761703,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,3,-87.24418703546463,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.999982000054}",30,0,-280.08531103206303,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9999755001000415}",20,0,-171.50409238133204,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999680001706663}",20,0,-184.73762979818562,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-128.2398823090695,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,0,-152.55954616068644,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999395006100392}",25,0,-77.87918421566043,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-129.11076199327343,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-122.8051425825182,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,0,-54.089849611654806,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998875021093592}",25,0,-218.2819723575211,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9998720027306434}",25,8,-125.40210667357422,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.9998555034800082}",20,8,-87.77555943003738,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-66.10882193113586,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9998195054299763}",25,0,-120.1534516719178,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-94.83135328377095,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-113.26084910100238,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9997580097605092}",30,0,-102.16545223393747,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-66.33208080240536,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-73.19796382541057,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,-128.0163228136677,"{0: 13, 1: 6, 2: 2, 3: 3, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9996620190402377}",20,0,-232.2609518569477,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-138.28757074092798,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9996080256099974}",20,0,-141.13274329324855,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.9995795294692156}",20,0,-111.18088994524518,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9995500337489875}",30,0,-184.1283541687594,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.999519538478809}",30,0,-45.54482370319793,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
