trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.07296594139945,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.63505592763744,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.05401331430265,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,4,-21.50822025818922,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.43201819358313,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.5021110342606,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.6144337654029,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.74361974417735,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.98505692070584,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.233487346791726,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.77626903861864,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.20650805208183,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.50239480729029,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.62240126063585,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.60615810339337,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.21004438318602,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.61878638372016,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.405328402761334,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.78846036394765,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.75080885106486,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.2442388153686,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-39.0532647578268,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-241.36273016744403,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.810092858713,"{0: 11, 1: 2, 2: 1, 3: 4, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.67477494265148,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.876131292585086,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.21144480849803,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.88697551963094,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.18720239865946,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,14,7.942258542220148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
